case,source_battery,target_battery,scenario,n_train,n_val,n_test,top_k_features,best_epoch,MAE,RMSE,R2,selected_features
A,B0005,B0005,A_random_B0005_60_20_20,100,34,34,8,406,0.15517934513123233,0.19087191475771553,0.9995349036794905,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; voltage_mean
A,B0006,B0006,A_random_B0006_60_20_20,100,34,34,8,274,0.19058168513523324,0.21976829389316635,0.9996220815745007,time_to_3p6v_s; time_to_3p7v_s; duration_s; time_to_3p5v_s; avg_power_w; voltage_at_50pct_time; current_mean; current_abs_mean
A,B0007,B0007,A_random_B0007_60_20_20,100,34,34,8,408,0.17597705845438916,0.2475888418561073,0.998906195931772,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
A,B0018,B0018,A_random_B0018_60_20_20,79,26,27,8,600,0.2109293786756565,0.30837681516918247,0.9982453448277174,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; duration_s; voltage_at_50pct_time; voltage_mean; voltage_at_25pct_time; voltage_at_75pct_time
B,B0005,B0005,B_chrono_B0005_first60_last40,80,20,68,8,70,0.43144302528220946,0.48113086727125337,0.9724186610211805,time_to_3p5v_s; time_to_3p6v_s; early_voltage_slope; time_to_3p7v_s; voltage_end; global_cycle_index; cycle_index; temp_range
B,B0006,B0006,B_chrono_B0006_first60_last40,80,20,68,8,178,2.5393922500606685,2.9950913132066757,0.43734823149125157,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; voltage_mean; global_cycle_index; current_std; cycle_index
B,B0007,B0007,B_chrono_B0007_first60_last40,80,20,68,8,450,0.7491479906229596,0.9314203190975258,0.8534368047875984,time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; time_to_3p5v_s; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
B,B0018,B0018,B_chrono_B0018_first60_last40,64,15,53,8,420,0.24882996582852726,0.3027627804122442,0.9673357426137799,duration_s; avg_power_w; time_to_3p5v_s; current_mean; current_abs_mean; time_to_3p6v_s; current_std; early_voltage_slope
C,B0007,B0005,C_transfer_B0007_to_B0005_target10,181,3,152,8,16,0.6058433309738267,0.7234803326586432,0.9935188642458456,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; duration_s
C,B0007,B0006,C_transfer_B0007_to_B0006_target10,181,3,152,8,47,2.441092754573049,2.7106997552923473,0.9397287125175775,early_voltage_slope; time_to_3p6v_s; time_to_3p5v_s; duration_s; cycle_index; time_to_3p7v_s; global_cycle_index; voltage_mean
C,B0005,B0007,C_transfer_B0005_to_B0007_target10,181,3,152,8,53,0.8167321822910013,0.9904299423815387,0.9824805899105838,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; time_to_3p9v_s
C,B0005,B0018,C_transfer_B0005_to_B0018_target10,179,2,119,8,79,0.9081381957852215,1.138063923922166,0.9709549002026616,time_to_3p6v_s; time_to_3p5v_s; early_voltage_slope; time_to_3p7v_s; global_cycle_index; cycle_index; voltage_at_50pct_time; duration_s
