scenario,case,source_battery,target_battery,n_train_remove_spikes,n_val_remove_spikes,n_test_remove_spikes,MAE_remove_spikes,RMSE_remove_spikes,R2_remove_spikes,n_train_keep_spikes,n_val_keep_spikes,n_test_keep_spikes,MAE_keep_spikes,RMSE_keep_spikes,R2_keep_spikes,MAE_delta_keep_minus_remove,RMSE_delta_keep_minus_remove,R2_delta_keep_minus_remove
A_random_B0005_60_20_20,A,B0005,B0005,99,33,34,0.23239701416287564,0.3204383499166316,0.9987258997664628,100,34,34,0.15517934513123233,0.19087191475771553,0.9995349036794905,-0.07721766903164332,-0.12956643515891608,0.0008090039130277393
A_random_B0006_60_20_20,A,B0006,B0006,99,33,33,0.2060126404659314,0.23337314839559156,0.9996565994896999,100,34,34,0.19058168513523324,0.21976829389316635,0.9996220815745007,-0.01543095533069816,-0.013604854502425212,-3.451791519915037e-05
A_random_B0007_60_20_20,A,B0007,B0007,100,33,34,0.23276496516711753,0.32955373352947176,0.9980713807319969,100,34,34,0.17597705845438916,0.2475888418561073,0.998906195931772,-0.056787906712728375,-0.08196489167336446,0.0008348151997751296
A_random_B0018_60_20_20,A,B0018,B0018,78,26,27,0.21557115139336983,0.2963588341225409,0.9982410425909459,79,26,27,0.2109293786756565,0.30837681516918247,0.9982453448277174,-0.004641772717713322,0.01201798104664159,4.302236771502876e-06
B_chrono_B0005_first60_last40,B,B0005,B0005,80,19,67,1.2773432101470106,1.3326047893755437,0.7805281777995665,80,20,68,0.43144302528220946,0.48113086727125337,0.9724186610211805,-0.8459001848648011,-0.8514739221042904,0.19189048322161395
B_chrono_B0006_first60_last40,B,B0006,B0006,80,19,66,0.655980377709276,0.7492593808954953,0.9637687142952279,80,20,68,2.5393922500606685,2.9950913132066757,0.43734823149125157,1.8834118723513926,2.24583193231118,-0.5264204828039764
B_chrono_B0007_first60_last40,B,B0007,B0007,80,20,67,0.8176969247793682,1.0155726559633955,0.8203640309226536,80,20,68,0.7491479906229596,0.9314203190975258,0.8534368047875984,-0.06854893415640861,-0.08415233686586976,0.03307277386494478
B_chrono_B0018_first60_last40,B,B0018,B0018,63,15,53,0.3972372491312687,0.45445621709312045,0.9264043886326825,64,15,53,0.24882996582852726,0.3027627804122442,0.9673357426137799,-0.14840728330274142,-0.15169343668087626,0.040931353981097374
C_transfer_B0005_to_B0006_target10,C,B0005,B0006,149,33,149,5.6789225465449045,6.105550837859345,0.6920631040927934,151,33,152,5.764212317471716,6.068857998530315,0.6978924442087492,0.08528977092681167,-0.03669283932902978,0.005829340115955817
C_transfer_B0005_to_B0007_target10,C,B0005,B0007,149,33,151,2.0611188770660007,2.9316914744520854,0.8472985217663873,151,33,152,2.018715660632668,2.897302204011602,0.8500800083019984,-0.04240321643333278,-0.034389270440483344,0.002781486535611055
C_transfer_B0005_to_B0018_target10,C,B0005,B0018,146,33,118,1.228903633405027,1.3947752868938037,0.9562894300516331,148,33,119,1.233356315382503,1.388479885728507,0.9567666642967798,0.004452681977475947,-0.006295401165296699,0.0004772342451466738
C_transfer_B0006_to_B0005_target10,C,B0006,B0005,148,33,150,6.497829063151504,6.758705943786032,0.4304361048790547,151,33,152,6.7955064123474385,6.955209122514979,0.4010121074066323,0.2976773491959346,0.19650317872894618,-0.029423997472422414
C_transfer_B0006_to_B0007_target10,C,B0006,B0007,148,33,151,6.0841790512957035,6.377286627647845,0.27743222871503326,151,33,152,5.944164323369697,6.304827679381673,0.29006530953417364,-0.14001472792600644,-0.0724589482661715,0.012633080819140385
C_transfer_B0006_to_B0018_target10,C,B0006,B0018,145,33,118,4.721893924633327,4.7562887996990995,0.491706664369266,148,33,119,1.9821771777249806,2.228024653839334,0.8886783732601417,-2.7397167469083463,-2.5282641458597657,0.39697170889087563
C_transfer_B0007_to_B0005_target10,C,B0007,B0005,150,33,150,1.049334786965668,1.2403381382037981,0.9808179268224069,151,33,152,1.2187309618919238,1.309022021547849,0.9787826292870301,0.1693961749262558,0.06868388334405084,-0.00203529753537679
C_transfer_B0007_to_B0006_target10,C,B0007,B0006,150,33,149,1.626208721907933,1.9662469776268325,0.9680634381349803,151,33,152,4.15616914875127,4.626684759804981,0.824414982547815,2.529960426843337,2.660437782178148,-0.14364845558716532
C_transfer_B0007_to_B0018_target10,C,B0007,B0018,147,33,118,1.3024035345256415,1.5022895825733236,0.9492909711624608,148,33,119,1.2954863982745888,1.514337078937867,0.9485737718351426,-0.0069171362510527246,0.012047496364543386,-0.0007171993273181743
C_transfer_B0018_to_B0005_target10,C,B0018,B0005,121,26,150,0.7190923159285566,0.9679011632800351,0.9883190713355078,122,26,152,0.7110718938393635,0.9808397623217262,0.9880877503663125,-0.008020422089193069,0.012938599041691146,-0.00023132096919531442
C_transfer_B0018_to_B0006_target10,C,B0018,B0006,121,26,149,6.762666083577269,6.9490497449148485,0.6011010755282415,122,26,152,5.850956058137418,6.588031558591976,0.6439926393133747,-0.9117100254398514,-0.3610181863228723,0.04289156378513315
C_transfer_B0018_to_B0007_target10,C,B0018,B0007,121,26,151,0.9201589082833431,0.995596639519431,0.9823894241494012,122,26,152,1.0299372232590167,1.0858577262288749,0.9789419667252307,0.10977831497567359,0.09026108670944388,-0.003447457424170519
