iteration,best_channels,best_fitness,best_acc,params_compression_rate,flops_reduction_rate
1,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.618206,26.0500,0.542992,0.609262
2,12-12-8-8-8-24-20-20-16-16-48-48-32-40-64,15.904454,27.5000,0.505039,0.556978
3,12-12-8-8-8-24-20-20-16-16-48-48-32-40-64,15.904454,27.5000,0.505039,0.556978
4,12-12-8-8-8-24-20-20-16-16-48-48-32-40-64,15.904454,27.5000,0.505039,0.556978
5,12-12-8-8-8-24-20-20-16-16-48-48-32-40-64,15.904454,27.5000,0.505039,0.556978
1,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.317953,24.7500,0.542992,0.609262
2,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.317953,24.7500,0.542992,0.609262
3,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.317953,24.7500,0.542992,0.609262
4,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.317953,24.7500,0.542992,0.609262
5,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.317953,24.7500,0.542992,0.609262
1,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.718346,26.1500,0.542992,0.609262
2,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.718346,26.1500,0.542992,0.609262
3,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.718346,26.1500,0.542992,0.609262
4,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.718346,26.1500,0.542992,0.609262
5,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.718346,26.1500,0.542992,0.609262
1,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.768361,26.2000,0.542992,0.609262
2,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.768361,26.2000,0.542992,0.609262
3,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.768361,26.2000,0.542992,0.609262
4,12-8-8-8-8-20-20-16-16-16-48-32-32-48-64,16.969757,27.4500,0.540097,0.607953
5,12-8-8-8-8-20-20-16-16-16-48-32-32-48-64,16.969757,27.4500,0.540097,0.607953
1,12-8-12-8-8-20-20-16-16-16-48-32-40-40-64,13.184274,23.9000,0.544664,0.589217
1,12-8-12-8-8-20-20-16-16-16-48-32-40-40-64,13.584301,24.3000,0.544664,0.589217
2,12-8-8-8-12-20-20-16-16-16-48-40-40-40-64,14.540405,25.6000,0.520982,0.582079
2,12-8-12-8-8-20-20-16-16-16-48-40-40-32-64,15.529703,26.2000,0.547422,0.590406
3,12-8-12-8-8-20-20-16-16-16-48-40-40-32-64,15.529703,26.2000,0.547422,0.590406
3,12-8-8-8-12-20-20-16-16-16-48-40-40-40-64,14.540405,25.6000,0.520982,0.582079
4,12-8-12-8-8-20-20-16-16-16-48-40-40-32-64,15.529703,26.2000,0.547422,0.590406
4,12-8-8-8-12-20-20-16-16-16-48-40-40-40-64,14.540405,25.6000,0.520982,0.582079
5,12-8-12-8-8-20-20-16-16-16-48-40-40-32-64,15.529703,26.2000,0.547422,0.590406
5,8-8-8-8-8-20-20-16-16-16-40-40-40-40-64,16.144060,26.0000,0.556040,0.638942
5,8-8-12-8-8-20-20-16-16-16-48-32-40-40-64,16.461554,26.7500,0.548508,0.615150
1,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.868184,25.3000,0.542992,0.609262
2,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.868184,25.3000,0.542992,0.609262
3,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.868184,25.3000,0.542992,0.609262
4,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.868184,25.3000,0.542992,0.609262
5,12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,14.868184,25.3000,0.542992,0.609262
