epoch,lr,loss,ce_loss,kd_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.05,10.806042,2.215316,19.396769,32.2000,2.282873,44.7300,13.21
1,0.05,11.053544,2.216869,19.890220,30.3240,3.822462,32.3500,12.77
2,0.05,8.105997,1.946853,14.265141,50.2580,2.227947,55.7500,8.29
3,0.05,5.745616,1.517578,9.973653,64.6540,2.130772,64.0100,8.34
4,0.05,4.457339,1.237719,7.676959,72.4000,1.947178,68.0600,8.15
5,0.05,3.749926,1.077637,6.422215,76.4460,1.664409,71.4500,8.47
6,0.05,3.304542,0.952768,5.656315,78.8360,1.293915,76.5100,8.27
7,0.05,2.950833,0.857525,5.044141,80.8100,1.221297,78.1900,7.96
8,0.05,2.704207,0.782729,4.625685,82.3200,1.383537,75.0300,8.46
9,0.05,2.511072,0.726548,4.295597,83.3000,1.014018,81.1000,8.23
10,0.05,2.357089,0.683552,4.030626,84.3640,0.897379,82.5400,8.18
11,0.05,2.240948,0.653449,3.828447,84.8660,0.944153,81.1900,8.30
12,0.05,2.097277,0.603702,3.590853,85.8360,0.966488,82.2900,8.08
13,0.05,2.032420,0.581035,3.483806,86.2900,0.752208,84.5600,8.10
14,0.05,1.910006,0.542940,3.277072,87.2640,0.746793,85.0100,8.32
15,0.05,1.832745,0.520330,3.145159,87.6120,0.908925,83.3800,8.35
16,0.05,1.754952,0.500239,3.009665,88.1860,0.723483,85.1300,8.17
17,0.05,1.730048,0.490225,2.969870,88.3640,0.827522,84.8000,8.23
18,0.05,1.651632,0.464678,2.838586,88.8780,0.906862,83.4700,8.09
19,0.05,1.588528,0.445878,2.731178,89.1120,1.501054,76.7000,8.11
20,0.05,1.544735,0.426959,2.662510,89.6700,0.695853,86.2000,8.27
21,0.05,1.504843,0.417750,2.591936,89.7600,0.614359,87.5600,8.33
22,0.05,1.473359,0.404103,2.542616,89.9940,0.657901,87.2300,8.12
23,0.05,1.427953,0.389013,2.466893,90.2380,0.726515,85.5700,8.26
24,0.05,1.413759,0.383318,2.444199,90.4820,0.655846,87.0700,8.61
25,0.05,1.372686,0.369833,2.375539,90.5920,0.746555,85.8200,7.95
26,0.05,1.333029,0.351853,2.314205,91.1020,0.684759,86.7600,8.50
27,0.05,1.325791,0.355413,2.296170,91.0800,0.656525,87.6100,8.38
28,0.05,1.278986,0.336689,2.221283,91.2840,0.665770,87.1100,8.10
29,0.05,1.272782,0.337192,2.208373,91.4340,0.640737,87.4300,8.23
30,0.05,1.248456,0.326799,2.170114,91.6500,0.656549,87.5000,8.31
31,0.05,1.219983,0.317638,2.122328,91.8600,0.641403,87.1900,8.14
32,0.05,1.214644,0.312101,2.117187,91.7920,0.824009,85.6200,7.96
33,0.05,1.202334,0.314534,2.090134,91.8720,0.756142,85.8900,8.31
34,0.05,1.190111,0.307435,2.072786,92.1740,0.635159,87.5200,8.28
35,0.05,1.166415,0.300102,2.032728,92.2820,0.680244,87.3500,8.41
36,0.05,1.138633,0.288554,1.988711,92.5440,0.709459,86.5300,8.46
37,0.05,1.125456,0.279310,1.971602,92.6600,0.636017,87.6600,8.17
38,0.05,1.113952,0.283502,1.944402,92.5020,0.599260,88.8500,8.43
39,0.05,1.072192,0.265603,1.878780,93.0280,0.590735,88.6300,8.41
40,0.05,1.086912,0.270655,1.903169,92.8900,0.739570,86.9000,8.00
41,0.005000000000000001,0.819826,0.183973,1.455680,94.8320,0.425741,91.0800,8.35
42,0.005000000000000001,0.723910,0.149722,1.298097,95.6100,0.426216,91.1600,8.31
43,0.005000000000000001,0.705599,0.145027,1.266170,95.7220,0.412712,91.4400,8.08
44,0.005000000000000001,0.681361,0.135057,1.227665,95.8960,0.420592,91.1700,8.27
45,0.005000000000000001,0.678601,0.132708,1.224494,96.0580,0.408758,91.4500,8.06
46,0.005000000000000001,0.662434,0.129005,1.195863,96.1840,0.410758,91.1800,8.26
47,0.005000000000000001,0.641471,0.119095,1.163847,96.4200,0.413364,91.2800,8.17
48,0.005000000000000001,0.639723,0.118598,1.160847,96.3660,0.413089,91.2500,8.39
49,0.005000000000000001,0.636323,0.117826,1.154819,96.4520,0.417565,91.1200,8.21
50,0.005000000000000001,0.628152,0.112850,1.143454,96.5700,0.406142,91.4500,8.12
51,0.005000000000000001,0.623014,0.110711,1.135316,96.5440,0.410510,91.3400,8.50
52,0.005000000000000001,0.619044,0.107572,1.130516,96.6800,0.409845,91.3600,8.26
53,0.005000000000000001,0.604946,0.103493,1.106399,96.7280,0.411082,91.2900,8.04
54,0.005000000000000001,0.607085,0.105724,1.108446,96.7000,0.402648,91.1500,8.27
55,0.005000000000000001,0.598894,0.100845,1.096943,96.8380,0.407200,91.3400,8.13
56,0.005000000000000001,0.592911,0.100978,1.084843,96.7780,0.408862,91.3700,8.08
57,0.005000000000000001,0.596365,0.100009,1.092721,96.8220,0.403737,91.4400,8.32
58,0.005000000000000001,0.587336,0.099194,1.075478,96.8760,0.413324,91.2900,8.86
59,0.005000000000000001,0.587238,0.098281,1.076194,96.9100,0.408830,91.3600,8.67
60,0.005000000000000001,0.575560,0.093048,1.058072,97.0840,0.406858,91.3400,8.45
61,0.0005000000000000001,0.559518,0.086591,1.032446,97.3180,0.407437,91.3600,8.19
62,0.0005000000000000001,0.562226,0.089339,1.035113,97.2280,0.406058,91.4300,8.16
63,0.0005000000000000001,0.558593,0.087231,1.029955,97.1600,0.400126,91.4100,7.24
64,0.0005000000000000001,0.558721,0.088956,1.028487,97.2080,0.409490,91.3700,6.40
65,0.0005000000000000001,0.555987,0.086568,1.025405,97.2980,0.402989,91.4800,6.42
66,0.0005000000000000001,0.560146,0.087575,1.032717,97.1860,0.404894,91.4400,6.41
67,0.0005000000000000001,0.557297,0.086562,1.028033,97.2780,0.406897,91.4500,6.55
68,0.0005000000000000001,0.553716,0.084844,1.022588,97.3560,0.401849,91.5000,6.52
69,0.0005000000000000001,0.555999,0.083670,1.028329,97.3000,0.404267,91.5300,6.35
70,0.0005000000000000001,0.555509,0.086271,1.024747,97.2820,0.404323,91.5300,6.40
71,0.0005000000000000001,0.555317,0.086394,1.024240,97.2320,0.403999,91.4200,6.43
72,0.0005000000000000001,0.549774,0.084279,1.015269,97.3220,0.405120,91.4200,6.43
73,0.0005000000000000001,0.547554,0.084862,1.010247,97.2700,0.404023,91.5300,6.51
74,0.0005000000000000001,0.552553,0.083499,1.021607,97.3540,0.400678,91.4300,6.51
75,0.0005000000000000001,0.551448,0.084894,1.018001,97.3080,0.404327,91.4300,6.35
76,0.0005000000000000001,0.547582,0.083639,1.011526,97.3440,0.402122,91.4400,6.33
77,0.0005000000000000001,0.552766,0.084506,1.021027,97.3460,0.405059,91.5300,6.45
78,0.0005000000000000001,0.548664,0.083692,1.013635,97.3140,0.406553,91.4900,6.67
79,0.0005000000000000001,0.547345,0.081971,1.012719,97.3440,0.404658,91.4000,6.47
80,0.0005000000000000001,0.546524,0.081834,1.011214,97.4260,0.403310,91.4100,6.52
